Nser,Npar,Irradiance,Temperature,Vmpp,Impp,Label
4,3,410,55,77.55775346,7.285371581,3
4,3,410,65,73.905,7.300982973,3
4,3,410,75,70.275,7.311892642,3
4,3,410,85,66.65932997,7.318454119,3
4,3,510,5,96.6,8.903379321,3
4,3,510,15,92.91,8.940947497,3
4,3,510,25,89.235,8.975290326,3
4,3,510,35,85.575,9.006164899,3
4,3,510,45,81.92383396,9.033980293,3
4,3,510,55,78.285,9.058124393,3
4,3,510,65,74.67,9.076896297,3
4,3,510,75,71.055,9.092765242,3
4,3,510,85,67.485,9.09945107,3
4,3,610,5,97.005,10.6459223,3
4,3,610,15,93.345,10.69029812,3
4,3,610,25,89.70399462,10.73033527,3
4,3,610,35,86.07,10.76718175,3
4,3,610,45,82.44,10.80105334,3
4,3,610,55,78.83000165,10.82960794,3
4,3,610,65,75.24,10.85235334,3
4,3,610,75,71.66463038,10.86951819,3
4,3,610,85,68.11882788,10.87813741,3
4,3,710,5,97.32,12.38543562,3
4,3,710,15,93.67923338,12.43727742,3
4,3,710,25,90.06,12.48379183,3
4,3,710,35,86.445,12.52704456,3
4,3,710,45,82.845,12.56526185,3
4,3,710,55,79.275,12.59567241,3
4,3,710,65,75.705,12.62247836,3
4,3,710,75,72.165,12.64024584,3
4,3,710,85,68.64,12.65067952,3
4,3,810,5,97.56,14.12299225,3
4,3,810,15,93.945,14.18093103,3
4,3,810,25,90.345,14.23377952,3
4,3,810,35,86.745,14.28365011,3
4,3,810,45,83.175,14.32532357,3
4,3,810,55,79.62,14.36071944,3
4,3,810,65,76.08,14.3893307,3
4,3,810,75,72.56503734,14.40856414,3
4,3,810,85,69.06,14.42053882,3
4,3,910,5,97.74,15.85898619,3
4,3,910,15,94.14,15.92419865,3
4,3,910,25,90.555,15.98377148,3
4,3,910,35,86.985,16.03732129,3
4,3,910,45,83.445,16.08153452,3
4,3,910,55,79.905,16.12158489,3
4,3,910,65,76.38,16.15416436,3
4,3,910,75,72.885,16.17530709,3
4,3,910,85,69.405,16.1872218,3
4,3,1010,5,97.875,17.59300863,3
4,3,1010,15,94.29,17.66519485,3
4,3,1010,25,90.735,17.72825195,3
4,3,1010,35,87.18644952,17.78618519,3
4,3,1010,45,83.65198593,17.83712593,3
4,3,1010,55,80.13,17.88094426,3
4,3,1010,65,76.64503734,17.91139976,3
4,3,1010,75,73.16503734,17.93491348,3
4,3,1010,85,69.705,17.94709969,3
4,3,1110,5,97.965,19.32673511,3
4,3,1110,15,94.41880299,19.40075182,3
4,3,1110,25,90.87,19.47135771,3
4,3,1110,35,87.345,19.53266113,3
4,3,1110,45,83.82,19.58947325,3
4,3,1110,55,80.325,19.63438102,3
4,3,1110,65,76.86,19.66626199,3
4,3,1110,75,73.395,19.69185896,3
4,3,1110,85,69.975,19.69814222,3
4,3,10,5,41.58,0.17435127,3
4,3,10,15,39.48,0.174937437,3
4,3,10,25,37.395,0.175406211,3
4,3,10,35,35.31,0.175818582,3
4,3,10,45,33.24,0.176093392,3
4,3,10,55,31.17505043,0.176270006,3
4,3,10,65,29.13,0.17625054,3
4,3,10,75,27.09420781,0.176075384,3
4,3,10,85,25.08,0.175638885,3
4,3,110,5,45.96,1.924421195,3
4,3,110,15,44.01,1.932116285,3
4,3,110,25,42.06,1.939402177,3
4,3,110,35,40.125,1.945543018,3
4,3,110,45,38.19,1.9511835,3
4,3,110,55,36.27,1.955504577,3
4,3,110,65,34.365,1.958359244,3
4,3,110,75,32.45005043,1.961088431,3
4,3,110,85,30.56005043,1.961538631,3
4,3,210,5,47.04,3.675505249,3
4,3,210,15,45.135,3.690374969,3
4,3,210,25,43.23,3.704484604,3
4,3,210,35,41.33001867,3.717365799,3
4,3,210,45,39.44001867,3.728470649,3
4,3,210,55,37.56,3.7376407,3
4,3,210,65,35.69005043,3.744689606,3
4,3,210,75,33.83005043,3.749431028,3
4,3,210,85,31.97005043,3.752809955,3
4,3,310,5,47.64,5.425565623,3
4,3,310,15,45.765,5.447278338,3
4,3,310,25,43.89,5.46786121,3
4,3,310,35,42.015,5.487288099,3
4,3,310,45,40.16001867,5.502794017,3
4,3,310,55,38.30001867,5.517558806,3
4,3,310,65,36.45,5.529385571,3
4,3,310,75,34.62,5.536409424,3
4,3,310,85,32.79,5.541452014,3
